2017/08/18-13:00:01:UTC={"ticker":{"high":14499.00000000,"low":14085.00000000,"vol":327.84235407,"last":14388.00000000,"buy":14278.00001000,"sell":14388.00000000,"date":1503057806}}
2017/08/18-14:00:01:UTC={"ticker":{"high":14499.00000000,"low":14085.00000000,"vol":329.13343254,"last":14389.99999000,"buy":14287.90101000,"sell":14389.88500000,"date":1503061187}}
2017/08/18-15:00:01:UTC={"ticker":{"high":14486.00000000,"low":14050.00000000,"vol":315.02406656,"last":14210.00100000,"buy":14210.03300000,"sell":14349.59998000,"date":1503068306}}
2017/08/18-16:00:01:UTC={"ticker":{"high":14486.00000000,"low":14050.00000000,"vol":327.35280454,"last":14242.03400000,"buy":14242.04400000,"sell":14380.00000000,"date":1503071917}}
2017/08/18-17:00:01:UTC={"ticker":{"high":14471.00000000,"low":14050.00000000,"vol":302.33181361,"last":14349.99898000,"buy":14268.00000000,"sell":14349.99999000,"date":1503075496}}
2017/08/18-18:00:01:UTC={"ticker":{"high":14471.00000000,"low":14050.00000000,"vol":300.08901136,"last":14319.00000000,"buy":14229.99000000,"sell":14318.99999000,"date":1503078988}}
2017/08/18-19:00:01:UTC={"ticker":{"high":14471.00000000,"low":14050.00000000,"vol":298.43748108,"last":14289.99898000,"buy":14169.00000000,"sell":14289.99892000,"date":1503082727}}
2017/08/18-20:00:01:UTC={"ticker":{"high":14471.00000000,"low":14050.00000000,"vol":322.96892647,"last":14110.54321000,"buy":14110.55321000,"sell":14248.99899000,"date":1503086315}}
2017/08/18-21:00:03:UTC={"ticker":{"high":14471.00000000,"low":14002.00001000,"vol":330.48567227,"last":14140.00000000,"buy":14012.02200000,"sell":14140.00000000,"date":1503089922}}
2017/08/18-22:00:01:UTC={"ticker":{"high":14471.00000000,"low":13990.00000000,"vol":346.52307071,"last":14099.99998000,"buy":14080.01000000,"sell":14099.99998000,"date":1503093524}}
2017/08/18-23:00:02:UTC={"ticker":{"high":14471.00000000,"low":13990.00000000,"vol":345.62469023,"last":14081.00000000,"buy":14080.01000000,"sell":14081.00000000,"date":1503094061}}
2017/08/19-00:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":364.81744239,"last":14185.87000000,"buy":14119.00000000,"sell":14185.80000000,"date":1503099832}}
2017/08/19-01:00:03:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":364.46020197,"last":14170.00000000,"buy":14060.00001000,"sell":14160.00000000,"date":1503102334}}
2017/08/19-02:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":363.87385991,"last":14189.99999000,"buy":14115.00000000,"sell":14189.99999000,"date":1503104387}}
2017/08/19-03:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":350.42970595,"last":14136.66667000,"buy":14136.66667000,"sell":14226.00000000,"date":1503107973}}
2017/08/19-04:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":344.91008201,"last":14101.00000000,"buy":14101.00100000,"sell":14201.49999000,"date":1503114932}}
2017/08/19-05:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":343.37419098,"last":14201.50000000,"buy":14102.00201000,"sell":14201.49998000,"date":1503115365}}
2017/08/19-06:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":351.11039480,"last":14198.95823000,"buy":14012.11000000,"sell":14198.99843000,"date":1503118678}}
2017/08/19-07:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":350.12886870,"last":14040.85864000,"buy":14040.85965000,"sell":14178.96897000,"date":1503124620}}
2017/08/19-08:00:03:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":354.37648162,"last":14079.99900000,"buy":13989.00010000,"sell":14079.99900000,"date":1503128554}}
2017/08/19-09:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":366.52592569,"last":14095.99901000,"buy":13900.84716000,"sell":14095.00000000,"date":1503131472}}
2017/08/19-10:00:04:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":365.96171680,"last":13901.52870000,"buy":13905.00113000,"sell":13999.99900000,"date":1503132616}}
2017/08/19-11:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":371.76493012,"last":14099.99900000,"buy":14050.00001000,"sell":14099.99900000,"date":1503139114}}
2017/08/19-12:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":369.31681617,"last":14001.00001000,"buy":14001.00001000,"sell":14089.99999000,"date":1503140283}}
2017/08/19-13:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":371.71229705,"last":14089.99999000,"buy":14011.00000000,"sell":14089.99999000,"date":1503146929}}
2017/08/19-14:00:01:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":376.06065961,"last":14035.00101000,"buy":14035.00101000,"sell":14179.93999000,"date":1503148422}}
2017/08/19-15:00:03:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":371.37055936,"last":14053.89310000,"buy":14053.89411000,"sell":14188.97998000,"date":1503151160}}
2017/08/19-16:00:02:UTC={"ticker":{"high":14471.00000000,"low":13900.00000000,"vol":335.80782141,"last":14170.00000000,"buy":14170.00000000,"sell":14173.99800000,"date":1503155896}}
2017/08/19-17:00:02:UTC={"ticker":{"high":14379.00000000,"low":13900.00000000,"vol":315.16244065,"last":14080.00000000,"buy":14079.98999000,"sell":14080.00000000,"date":1503158377}}
2017/08/19-18:00:01:UTC={"ticker":{"high":14349.00000000,"low":13900.00000000,"vol":333.66926352,"last":13900.00003000,"buy":13900.00000000,"sell":14017.99999000,"date":1503162745}}
2017/08/19-19:00:02:UTC={"ticker":{"high":14339.00000000,"low":13900.00000000,"vol":325.94507884,"last":14089.99999000,"buy":13920.01002000,"sell":14049.99999000,"date":1503165499}}
2017/08/19-20:00:01:UTC={"ticker":{"high":14300.00000000,"low":13900.00000000,"vol":311.51230905,"last":14001.00001000,"buy":14001.00010000,"sell":14091.00009000,"date":1503169099}}
2017/08/19-21:00:01:UTC={"ticker":{"high":14276.68479000,"low":13900.00000000,"vol":258.00904319,"last":14058.99999000,"buy":13980.00000000,"sell":14058.99999000,"date":1503176279}}
2017/08/19-22:00:04:UTC={"ticker":{"high":14276.68479000,"low":13900.00000000,"vol":234.21012827,"last":14090.00000000,"buy":14003.00000000,"sell":14090.00000000,"date":1503178825}}
2017/08/19-23:00:02:UTC={"ticker":{"high":14276.68479000,"low":13900.00000000,"vol":236.35351673,"last":13931.00000000,"buy":13931.01000000,"sell":14069.99993000,"date":1503179941}}
2017/08/20-00:00:01:UTC={"ticker":{"high":14269.00000000,"low":13900.00000000,"vol":195.70292896,"last":14086.00000000,"buy":13965.00000000,"sell":14010.00000000,"date":1503185491}}
2017/08/20-01:00:01:UTC={"ticker":{"high":14269.00000000,"low":13900.00000000,"vol":194.80885010,"last":14000.00000000,"buy":14001.00000000,"sell":14059.50000000,"date":1503187188}}
2017/08/20-02:00:02:UTC={"ticker":{"high":14269.00000000,"low":13900.00000000,"vol":188.08361193,"last":14060.00000000,"buy":14001.00000000,"sell":14060.00000000,"date":1503190797}}
2017/08/20-03:00:04:UTC={"ticker":{"high":14269.00000000,"low":13900.00000000,"vol":186.84664001,"last":14002.00000000,"buy":14002.00000000,"sell":14105.00000000,"date":1503196323}}
